state,good,prop_selling
Montana,Tofu,0.000000
Montana,Trees,0.307692
Montana,Vegetables,0.961538
Montana,WildHarvested,0.134615
Montana,Wine,0.115385
Nebraska,Bakedgoods,0.927273
Nebraska,Beans,0.072727
Nebraska,Cheese,0.218182
Nebraska,Coffee,0.218182
Nebraska,Crafts,0.709091
Nebraska,Eggs,0.745455
Nebraska,Flowers,0.545455
Nebraska,Fruits,0.800000
Nebraska,Grains,0.054545
Nebraska,Herbs,0.763636
Nebraska,Honey,0.690909
Nebraska,Jams,0.818182
Nebraska,Juices,0.054545
Nebraska,Maple,0.145455
Nebraska,Meat,0.363636
Nebraska,Mushrooms,0.072727
Nebraska,Nursery,0.018182
Nebraska,Nuts,0.254545
Nebraska,PetFood,0.163636
Nebraska,Plants,0.490909
Nebraska,Poultry,0.345455
Nebraska,Prepared,0.454545
Nebraska,Seafood,0.054545
Nebraska,Soap,0.490909
Nebraska,Tofu,0.000000
Nebraska,Trees,0.163636
Nebraska,Vegetables,1.000000
Nebraska,WildHarvested,0.054545
Nebraska,Wine,0.072727
Nevada,Bakedgoods,0.961538
Nevada,Beans,0.153846
Nevada,Cheese,0.307692
Nevada,Coffee,0.576923
Nevada,Crafts,0.769231
Nevada,Eggs,0.692308
Nevada,Flowers,0.346154
Nevada,Fruits,0.846154
Nevada,Grains,0.153846
Nevada,Herbs,0.846154
Nevada,Honey,0.961538
Nevada,Jams,0.846154
Nevada,Juices,0.384615
Nevada,Maple,0.153846
Nevada,Meat,0.384615
Nevada,Mushrooms,0.115385
Nevada,Nursery,0.038462
Nevada,Nuts,0.538462
Nevada,PetFood,0.384615
Nevada,Plants,0.346154
Nevada,Poultry,0.000000
Nevada,Prepared,0.730769
Nevada,Seafood,0.230769
Nevada,Soap,0.769231
Nevada,Tofu,0.115385
Nevada,Trees,0.153846
Nevada,Vegetables,1.000000
Nevada,WildHarvested,0.153846
Nevada,Wine,0.038462
New Hampshire,Bakedgoods,0.971014
New Hampshire,Beans,0.318841
New Hampshire,Cheese,0.739130
New Hampshire,Coffee,0.347826
New Hampshire,Crafts,0.782609
New Hampshire,Eggs,0.913043
New Hampshire,Flowers,0.768116
New Hampshire,Fruits,0.724638
New Hampshire,Grains,0.115942
New Hampshire,Herbs,0.855072
New Hampshire,Honey,0.811594
New Hampshire,Jams,0.913043
New Hampshire,Juices,0.202899
New Hampshire,Maple,0.884058
New Hampshire,Meat,0.855072
New Hampshire,Mushrooms,0.231884
New Hampshire,Nursery,0.072464
New Hampshire,Nuts,0.101449
New Hampshire,PetFood,0.217391
New Hampshire,Plants,0.637681
New Hampshire,Poultry,0.710145
New Hampshire,Prepared,0.826087
New Hampshire,Seafood,0.347826
New Hampshire,Soap,0.855072
New Hampshire,Tofu,0.000000
New Hampshire,Trees,0.159420
New Hampshire,Vegetables,0.971014
